OBJECTID,pointid,grid_code,POINT_X,POINT_Y
1,3218305,8.100000381,532613.75,152057.75
2,3218887,8.600000381,532612.75,152057.25
3,3218888,8.699999809,532613.75,152057.25
4,3218889,7.599999905,532614.25,152057.25
5,3218890,8,532614.75,152057.25
6,3218891,8.399999619,532615.25,152057.25
7,3219465,8.300000191,532611.75,152056.75
8,3219466,5.900000095,532612.75,152056.75
9,3219467,5.5,532613.25,152056.75
10,3219468,8.699999809,532613.75,152056.75
11,3219469,7.5,532614.25,152056.75
12,3219470,7.300000191,532614.75,152056.75
13,3219471,8.300000191,532615.25,152056.75
14,3219472,6.400000095,532616.25,152056.75
15,3220040,10.19999981,532611.25,152056.25
16,3220041,8,532611.75,152056.25
17,3220042,8,532612.25,152056.25
18,3220043,11.39999962,532612.75,152056.25
19,3220044,11.19999981,532613.25,152056.25
20,3220045,7,532614.25,152056.25
21,3220046,10.39999962,532614.75,152056.25
22,3220047,8.300000191,532615.25,152056.25
23,3220048,8.5,532616.25,152056.25
24,3220049,8.5,532616.75,152056.25
25,3220050,8.699999809,532617.25,152056.25
26,3220051,8.399999619,532617.75,152056.25
27,3220052,8.699999809,532618.25,152056.25
28,3220053,4.800000191,532621.25,152056.25
29,3220616,6.800000191,532608.75,152055.75
30,3220617,6.199999809,532609.25,152055.75
31,3220618,7.199999809,532609.75,152055.75
32,3220619,7.900000095,532610.75,152055.75
33,3220620,8.100000381,532611.75,152055.75
34,3220621,8.100000381,532612.25,152055.75
35,3220622,11.80000019,532612.75,152055.75
36,3220623,11.30000019,532613.25,152055.75
37,3220624,8.899999619,532614.25,152055.75
38,3220625,10.5,532614.75,152055.75
39,3220626,10.69999981,532615.25,152055.75
40,3220627,6.300000191,532615.75,152055.75
41,3220628,8.399999619,532616.25,152055.75
42,3220629,8.199999809,532616.75,152055.75
43,3220630,8.199999809,532617.25,152055.75
44,3220631,8.600000381,532617.75,152055.75
45,3220632,8.800000191,532618.25,152055.75
46,3220633,4.800000191,532619.75,152055.75
47,3220634,10,532620.75,152055.75
48,3220635,4.900000095,532621.25,152055.75
49,3220636,6,532621.75,152055.75
50,3220637,8.600000381,532623.75,152055.75
51,3220638,7.900000095,532624.25,152055.75
52,3221207,6.5,532609.25,152055.25
53,3221208,7,532609.75,152055.25
54,3221209,6.300000191,532610.25,152055.25
55,3221210,6.599999905,532610.75,152055.25
56,3221211,10.19999981,532611.25,152055.25
57,3221212,10.5,532611.75,152055.25
58,3221213,12.30000019,532612.25,152055.25
59,3221214,13,532612.75,152055.25
60,3221215,12.19999981,532613.25,152055.25
61,3221216,12.39999962,532613.75,152055.25
62,3221217,10.19999981,532614.25,152055.25
63,3221218,9.600000381,532614.75,152055.25
64,3221219,10.60000038,532615.25,152055.25
65,3221220,11,532615.75,152055.25
66,3221221,8,532616.25,152055.25
67,3221222,7.900000095,532616.75,152055.25
68,3221223,8.899999619,532617.25,152055.25
69,3221224,8.600000381,532617.75,152055.25
70,3221225,8.699999809,532618.25,152055.25
71,3221226,8.600000381,532618.75,152055.25
72,3221227,6.900000095,532619.25,152055.25
73,3221228,9.199999809,532619.75,152055.25
74,3221229,4.5,532620.25,152055.25
75,3221230,9.600000381,532620.75,152055.25
76,3221231,9.300000191,532621.25,152055.25
77,3221232,5.699999809,532621.75,152055.25
78,3221233,9.300000191,532622.25,152055.25
79,3221234,9.100000381,532622.75,152055.25
80,3221235,10.69999981,532623.25,152055.25
81,3221236,10.89999962,532623.75,152055.25
82,3221237,8.100000381,532624.25,152055.25
83,3221238,8.399999619,532624.75,152055.25
84,3221239,8,532625.25,152055.25
85,3221240,7.599999905,532625.75,152055.25
86,3221241,8.699999809,532626.25,152055.25
87,3221812,7.400000095,532608.75,152054.75
88,3221813,7,532609.75,152054.75
89,3221814,6.699999809,532610.25,152054.75
90,3221815,6.900000095,532610.75,152054.75
91,3221816,10.19999981,532611.25,152054.75
92,3221817,10.10000038,532611.75,152054.75
93,3221818,8.699999809,532612.25,152054.75
94,3221819,13.30000019,532612.75,152054.75
95,3221820,9.399999619,532613.25,152054.75
96,3221821,12.80000019,532613.75,152054.75
97,3221822,10,532614.25,152054.75
98,3221823,12.30000019,532614.75,152054.75
99,3221824,10.30000019,532615.25,152054.75
100,3221825,6.900000095,532615.75,152054.75
101,3221826,8.399999619,532616.25,152054.75
102,3221827,7.400000095,532616.75,152054.75
103,3221828,8.899999619,532617.25,152054.75
104,3221829,8.699999809,532617.75,152054.75
105,3221830,9,532618.25,152054.75
106,3221831,8.199999809,532618.75,152054.75
107,3221832,5,532619.25,152054.75
108,3221833,9.600000381,532619.75,152054.75
109,3221834,9.300000191,532620.25,152054.75
110,3221835,10.19999981,532620.75,152054.75
111,3221836,5.599999905,532621.25,152054.75
112,3221837,9.399999619,532622.25,152054.75
113,3221838,9.899999619,532623.25,152054.75
114,3221839,11.89999962,532623.75,152054.75
115,3221840,11.19999981,532624.25,152054.75
116,3221841,10.69999981,532624.75,152054.75
117,3221842,9.899999619,532625.25,152054.75
118,3221843,9.300000191,532625.75,152054.75
119,3221844,9.5,532626.25,152054.75
120,3221845,9,532626.75,152054.75
121,3221846,8.800000191,532627.25,152054.75
122,3222378,7.800000191,532607.75,152054.25
123,3222379,7.900000095,532608.25,152054.25
124,3222380,8.5,532608.75,152054.25
125,3222381,5.199999809,532609.25,152054.25
126,3222382,8,532609.75,152054.25
127,3222383,6.400000095,532610.25,152054.25
128,3222384,7.099999905,532610.75,152054.25
129,3222385,5.5,532611.25,152054.25
130,3222386,5.599999905,532611.75,152054.25
131,3222387,9.399999619,532612.25,152054.25
132,3222388,11,532612.75,152054.25
133,3222389,11.30000019,532613.25,152054.25
134,3222390,10.30000019,532613.75,152054.25
135,3222391,11.69999981,532614.25,152054.25
136,3222392,7.5,532615.25,152054.25
137,3222393,7.400000095,532615.75,152054.25
138,3222394,10.19999981,532616.25,152054.25
139,3222395,9,532616.75,152054.25
140,3222396,9,532617.25,152054.25
141,3222397,8.699999809,532617.75,152054.25
142,3222398,8.300000191,532618.25,152054.25
143,3222399,5,532618.75,152054.25
144,3222400,6.900000095,532619.25,152054.25
145,3222401,5.400000095,532619.75,152054.25
146,3222402,8.399999619,532620.25,152054.25
147,3222403,9.5,532620.75,152054.25
148,3222404,9.399999619,532621.25,152054.25
149,3222405,11.5,532622.25,152054.25
150,3222406,12.39999962,532622.75,152054.25
151,3222407,11.89999962,532623.25,152054.25
152,3222408,11.60000038,532623.75,152054.25
153,3222409,11.39999962,532624.25,152054.25
154,3222410,11.30000019,532624.75,152054.25
155,3222411,11,532625.25,152054.25
156,3222412,5.199999809,532625.75,152054.25
157,3222413,8.899999619,532626.25,152054.25
158,3222414,9.899999619,532626.75,152054.25
159,3222415,8.800000191,532627.25,152054.25
160,3222416,4.800000191,532627.75,152054.25
161,3222951,8.100000381,532607.75,152053.75
162,3222952,7.300000191,532608.25,152053.75
163,3222953,8.199999809,532608.75,152053.75
164,3222954,7.400000095,532609.25,152053.75
165,3222955,7.599999905,532609.75,152053.75
166,3222956,7.800000191,532610.25,152053.75
167,3222957,11.19999981,532610.75,152053.75
168,3222958,5.400000095,532611.25,152053.75
169,3222959,10.19999981,532612.25,152053.75
170,3222960,13.5,532613.25,152053.75
171,3222961,10.80000019,532613.75,152053.75
172,3222962,11.39999962,532614.25,152053.75
173,3222963,7.699999809,532614.75,152053.75
174,3222964,8,532615.25,152053.75
175,3222965,10.5,532615.75,152053.75
176,3222966,11,532616.25,152053.75
177,3222967,11.80000019,532616.75,152053.75
178,3222968,9.600000381,532617.25,152053.75
179,3222969,3.5,532617.75,152053.75
180,3222970,7.800000191,532618.25,152053.75
181,3222971,8.5,532618.75,152053.75
182,3222972,7.199999809,532619.25,152053.75
183,3222973,4.599999905,532619.75,152053.75
184,3222974,4.699999809,532620.25,152053.75
185,3222975,9.800000191,532620.75,152053.75
186,3222976,9.600000381,532621.25,152053.75
187,3222977,11.60000038,532621.75,152053.75
188,3222978,10.60000038,532622.25,152053.75
189,3222979,11.80000019,532622.75,152053.75
190,3222980,11.89999962,532623.25,152053.75
191,3222981,12.30000019,532623.75,152053.75
192,3222982,12.5,532624.25,152053.75
193,3222983,11,532624.75,152053.75
194,3222984,10.80000019,532625.25,152053.75
195,3222985,7.400000095,532625.75,152053.75
196,3222986,9,532626.25,152053.75
197,3222987,9.300000191,532626.75,152053.75
198,3222988,9.100000381,532627.25,152053.75
199,3222989,7.699999809,532627.75,152053.75
200,3223511,9.199999809,532606.75,152053.25
201,3223512,9,532607.25,152053.25
202,3223513,9,532607.75,152053.25
203,3223514,7.900000095,532608.25,152053.25
204,3223515,6.199999809,532608.75,152053.25
205,3223516,6.599999905,532609.25,152053.25
206,3223517,5.599999905,532609.75,152053.25
207,3223518,9.199999809,532610.25,152053.25
208,3223519,11.39999962,532610.75,152053.25
209,3223520,11.30000019,532611.25,152053.25
210,3223521,10.89999962,532611.75,152053.25
211,3223522,12.30000019,532612.25,152053.25
212,3223523,9.199999809,532612.75,152053.25
213,3223524,12.30000019,532613.25,152053.25
214,3223525,12.60000038,532613.75,152053.25
215,3223526,13.10000038,532614.25,152053.25
216,3223527,11.10000038,532614.75,152053.25
217,3223528,5.699999809,532615.25,152053.25
218,3223529,10.5,532615.75,152053.25
219,3223530,11,532616.25,152053.25
220,3223531,8.899999619,532616.75,152053.25
221,3223532,8.899999619,532617.25,152053.25
222,3223533,11.39999962,532617.75,152053.25
223,3223534,8.899999619,532618.25,152053.25
224,3223535,9.600000381,532618.75,152053.25
225,3223536,4.800000191,532619.25,152053.25
226,3223537,8.399999619,532619.75,152053.25
227,3223538,7.699999809,532620.25,152053.25
228,3223539,9.899999619,532620.75,152053.25
229,3223540,6.199999809,532621.25,152053.25
230,3223541,7.099999905,532621.75,152053.25
231,3223542,11.5,532622.25,152053.25
232,3223543,11.30000019,532622.75,152053.25
233,3223544,12,532623.25,152053.25
234,3223545,10.30000019,532623.75,152053.25
235,3223546,12.30000019,532624.25,152053.25
236,3223547,12.89999962,532624.75,152053.25
237,3223548,11.39999962,532625.25,152053.25
238,3223549,8.300000191,532625.75,152053.25
239,3223550,11.30000019,532626.25,152053.25
240,3223551,9.5,532626.75,152053.25
241,3223552,9.899999619,532627.25,152053.25
242,3223553,8.399999619,532627.75,152053.25
243,3224086,9.199999809,532607.25,152052.75
244,3224087,9.199999809,532607.75,152052.75
245,3224088,9.399999619,532608.75,152052.75
246,3224089,11.39999962,532609.75,152052.75
247,3224090,9.399999619,532610.75,152052.75
248,3224091,12.80000019,532611.25,152052.75
249,3224092,12.80000019,532611.75,152052.75
250,3224093,12.30000019,532612.25,152052.75
251,3224094,8.399999619,532612.75,152052.75
252,3224095,11.30000019,532613.25,152052.75
253,3224096,10.30000019,532613.75,152052.75
254,3224097,12,532614.25,152052.75
255,3224098,5.5,532614.75,152052.75
256,3224099,11.5,532615.25,152052.75
257,3224100,8.5,532615.75,152052.75
258,3224101,8.699999809,532616.25,152052.75
259,3224102,8.800000191,532616.75,152052.75
260,3224103,10.60000038,532617.25,152052.75
261,3224104,12.89999962,532617.75,152052.75
262,3224105,4.5,532618.25,152052.75
263,3224106,9.800000191,532618.75,152052.75
264,3224107,4.400000095,532619.25,152052.75
265,3224108,10.60000038,532619.75,152052.75
266,3224109,8.600000381,532620.25,152052.75
267,3224110,8.800000191,532620.75,152052.75
268,3224111,6.800000191,532621.25,152052.75
269,3224112,6.699999809,532621.75,152052.75
270,3224113,11.5,532622.25,152052.75
271,3224114,12,532622.75,152052.75
272,3224115,12.80000019,532623.25,152052.75
273,3224116,6.699999809,532623.75,152052.75
274,3224117,12.60000038,532624.25,152052.75
275,3224118,10.89999962,532624.75,152052.75
276,3224119,12.5,532625.25,152052.75
277,3224120,12.19999981,532625.75,152052.75
278,3224121,11.69999981,532626.25,152052.75
279,3224122,10.19999981,532626.75,152052.75
280,3224123,9.800000191,532627.25,152052.75
281,3224124,7.5,532627.75,152052.75
283,3224668,6.800000191,532605.75,152052.25
284,3224669,5.800000191,532606.25,152052.25
285,3224670,10,532606.75,152052.25
286,3224671,7.599999905,532607.25,152052.25
287,3224672,10,532607.75,152052.25
288,3224673,9.199999809,532608.25,152052.25
289,3224674,9.699999809,532608.75,152052.25
290,3224675,11.30000019,532609.25,152052.25
291,3224676,11.60000038,532609.75,152052.25
292,3224677,8.199999809,532610.25,152052.25
293,3224678,11.69999981,532611.25,152052.25
294,3224679,12.80000019,532611.75,152052.25
295,3224680,12.5,532612.25,152052.25
296,3224681,8.699999809,532612.75,152052.25
297,3224682,12,532613.25,152052.25
298,3224683,8.800000191,532613.75,152052.25
299,3224684,12.89999962,532614.25,152052.25
300,3224685,5.099999905,532614.75,152052.25
301,3224686,5.800000191,532615.25,152052.25
302,3224687,6.300000191,532615.75,152052.25
303,3224688,13.30000019,532616.75,152052.25
304,3224689,12.39999962,532617.25,152052.25
305,3224690,12.69999981,532617.75,152052.25
306,3224691,10,532618.25,152052.25
307,3224692,10,532618.75,152052.25
308,3224693,10.10000038,532619.25,152052.25
309,3224694,11.10000038,532619.75,152052.25
310,3224695,11.89999962,532620.25,152052.25
311,3224696,11.89999962,532620.75,152052.25
312,3224697,10,532621.25,152052.25
313,3224698,10.89999962,532621.75,152052.25
314,3224699,11.89999962,532622.25,152052.25
315,3224700,12.5,532622.75,152052.25
316,3224701,13.10000038,532623.25,152052.25
317,3224702,12.69999981,532623.75,152052.25
318,3224703,13,532624.25,152052.25
319,3224704,13.19999981,532624.75,152052.25
320,3224705,11.80000019,532625.25,152052.25
321,3224706,12.69999981,532625.75,152052.25
322,3224707,12.10000038,532626.25,152052.25
323,3224708,10.10000038,532626.75,152052.25
324,3224709,9.899999619,532627.25,152052.25
325,3224710,9.800000191,532627.75,152052.25
328,3225280,6.5,532605.75,152051.75
329,3225281,5.900000095,532606.25,152051.75
330,3225282,9.800000191,532606.75,152051.75
331,3225283,4.300000191,532607.25,152051.75
332,3225284,10,532607.75,152051.75
333,3225285,11.69999981,532608.25,152051.75
334,3225286,11.89999962,532608.75,152051.75
335,3225287,11.10000038,532609.25,152051.75
336,3225288,11.10000038,532609.75,152051.75
337,3225289,9.699999809,532610.25,152051.75
338,3225290,8.199999809,532610.75,152051.75
339,3225291,11.30000019,532611.25,152051.75
340,3225292,8.199999809,532611.75,152051.75
341,3225293,12,532612.25,152051.75
342,3225294,7,532612.75,152051.75
343,3225295,11.39999962,532613.25,152051.75
344,3225296,6.300000191,532613.75,152051.75
345,3225297,9,532614.75,152051.75
346,3225298,9,532615.25,152051.75
347,3225299,9,532615.75,152051.75
348,3225300,13.80000019,532616.75,152051.75
349,3225301,7.599999905,532617.25,152051.75
350,3225302,12.5,532617.75,152051.75
351,3225303,9.800000191,532618.25,152051.75
352,3225304,10.19999981,532618.75,152051.75
353,3225305,10.19999981,532619.25,152051.75
354,3225306,8,532619.75,152051.75
355,3225307,8.800000191,532620.25,152051.75
356,3225308,11.89999962,532620.75,152051.75
357,3225309,8.300000191,532621.25,152051.75
358,3225310,11.80000019,532622.25,152051.75
359,3225311,12.39999962,532622.75,152051.75
360,3225312,13.10000038,532623.25,152051.75
361,3225313,12.69999981,532623.75,152051.75
362,3225314,12.89999962,532624.25,152051.75
363,3225315,13.19999981,532624.75,152051.75
364,3225316,10,532625.25,152051.75
365,3225317,11,532625.75,152051.75
366,3225318,12,532626.25,152051.75
367,3225319,11.30000019,532626.75,152051.75
368,3225320,10.19999981,532627.25,152051.75
369,3225321,9.800000191,532627.75,152051.75
372,3225883,7.099999905,532605.75,152051.25
373,3225884,7.5,532606.25,152051.25
374,3225885,9.5,532606.75,152051.25
375,3225886,9.800000191,532607.25,152051.25
376,3225887,11.60000038,532607.75,152051.25
377,3225888,11.80000019,532608.25,152051.25
378,3225889,12.10000038,532608.75,152051.25
379,3225890,9.899999619,532609.25,152051.25
380,3225891,10.10000038,532609.75,152051.25
381,3225892,12.60000038,532610.25,152051.25
382,3225893,12,532610.75,152051.25
383,3225894,12.5,532611.25,152051.25
384,3225895,7.400000095,532611.75,152051.25
385,3225896,9.699999809,532612.25,152051.25
386,3225897,11.80000019,532612.75,152051.25
387,3225898,6.699999809,532613.75,152051.25
388,3225899,10.19999981,532614.75,152051.25
389,3225900,13.10000038,532615.75,152051.25
390,3225901,12.5,532616.25,152051.25
391,3225902,13.5,532616.75,152051.25
392,3225903,13.30000019,532617.25,152051.25
393,3225904,11.60000038,532617.75,152051.25
394,3225905,9.899999619,532618.25,152051.25
395,3225906,10.19999981,532618.75,152051.25
396,3225907,10.30000019,532619.75,152051.25
397,3225908,13,532620.25,152051.25
398,3225909,13.30000019,532620.75,152051.25
399,3225910,8.100000381,532621.25,152051.25
400,3225911,11.39999962,532622.25,152051.25
401,3225912,12.19999981,532623.25,152051.25
402,3225913,9.300000191,532623.75,152051.25
403,3225914,12,532624.25,152051.25
404,3225915,13.80000019,532624.75,152051.25
405,3225916,14.5,532625.25,152051.25
406,3225917,12.80000019,532625.75,152051.25
407,3225918,10.39999962,532626.25,152051.25
408,3225919,10.80000019,532626.75,152051.25
409,3225920,9.100000381,532627.25,152051.25
410,3225921,7.300000191,532627.75,152051.25
413,3226492,9.800000191,532605.75,152050.75
414,3226493,9.600000381,532606.25,152050.75
415,3226494,11.10000038,532606.75,152050.75
416,3226495,11,532607.25,152050.75
417,3226496,11.89999962,532607.75,152050.75
418,3226497,12.5,532608.25,152050.75
