OBJECTID;pointid;grid_code;POINT_X;POINT_Y
1;1567395;6.5;533207.75;152677.75
2;1567396;7.400000095;533209.75;152677.75
3;1568609;6.099999905;533207.25;152677.25
4;1568610;7.099999905;533207.75;152677.25
5;1568611;7.099999905;533208.25;152677.25
6;1568612;7.5;533208.75;152677.25
7;1568613;7.699999809;533209.25;152677.25
8;1568614;8.800000191;533209.75;152677.25
9;1568615;8.800000191;533210.25;152677.25
10;1569820;4.900000095;533206.25;152676.75
11;1569821;6.800000191;533206.75;152676.75
12;1569822;7.300000191;533207.25;152676.75
13;1569823;8.300000191;533207.75;152676.75
14;1569824;6.599999905;533208.25;152676.75
15;1569825;8.399999619;533208.75;152676.75
16;1569826;7.900000095;533209.25;152676.75
17;1569827;7.900000095;533209.75;152676.75
18;1569828;8.300000191;533210.25;152676.75
19;1569829;7.900000095;533211.75;152676.75
20;1571020;5.5;533206.25;152676.25
21;1571021;7.800000191;533206.75;152676.25
22;1571022;8.199999809;533207.25;152676.25
23;1571023;8.199999809;533207.75;152676.25
24;1571024;8.5;533208.25;152676.25
25;1571025;8.899999619;533208.75;152676.25
26;1571026;9.199999809;533209.25;152676.25
27;1571027;7.900000095;533209.75;152676.25
28;1571028;7.699999809;533210.25;152676.25
29;1571029;9.199999809;533210.75;152676.25
30;1571030;9.100000381;533211.25;152676.25
31;1571031;7.199999809;533211.75;152676.25
32;1571032;7.699999809;533212.25;152676.25
33;1572263;5.699999809;533205.75;152675.75
34;1572264;6.199999809;533206.25;152675.75
35;1572265;5.5;533206.75;152675.75
36;1572266;8.600000381;533207.25;152675.75
37;1572267;8.199999809;533207.75;152675.75
38;1572268;8.899999619;533208.25;152675.75
39;1572269;8.100000381;533208.75;152675.75
40;1572270;8.5;533209.25;152675.75
41;1572271;8.399999619;533209.75;152675.75
42;1572272;8.5;533210.25;152675.75
43;1572273;9.100000381;533210.75;152675.75
44;1572274;9;533211.25;152675.75
45;1572275;9;533211.75;152675.75
46;1572276;8.699999809;533212.25;152675.75
47;1572277;8.899999619;533212.75;152675.75
48;1573505;6.300000191;533205.75;152675.25
49;1573506;5.5;533206.25;152675.25
50;1573507;7.300000191;533206.75;152675.25
51;1573508;7;533207.25;152675.25
52;1573509;8.199999809;533207.75;152675.25
53;1573510;8.600000381;533208.25;152675.25
54;1573511;8.800000191;533208.75;152675.25
55;1573512;7.800000191;533209.25;152675.25
56;1573513;8;533209.75;152675.25
57;1573514;9.199999809;533210.25;152675.25
58;1573515;9.5;533210.75;152675.25
59;1573516;8.300000191;533211.25;152675.25
60;1573517;8.899999619;533211.75;152675.25
61;1573518;9.399999619;533212.25;152675.25
62;1573519;8.800000191;533212.75;152675.25
63;1573520;8.899999619;533213.25;152675.25
64;1573521;5.400000095;533213.75;152675.25
65;1574699;4.900000095;533206.25;152674.75
66;1574700;8;533206.75;152674.75
67;1574701;8.600000381;533207.25;152674.75
68;1574702;8.600000381;533207.75;152674.75
69;1574703;7;533208.25;152674.75
70;1574704;8.100000381;533208.75;152674.75
71;1574705;3.599999905;533209.25;152674.75
72;1574706;7.699999809;533209.75;152674.75
73;1574707;4.699999809;533210.25;152674.75
74;1574708;4.5;533210.75;152674.75
75;1574709;9.300000191;533211.25;152674.75
76;1574710;7.699999809;533211.75;152674.75
77;1574711;8.5;533212.25;152674.75
78;1574712;6.900000095;533212.75;152674.75
79;1574713;4.599999905;533213.25;152674.75
80;1574714;4.900000095;533213.75;152674.75
81;1575868;6.900000095;533205.75;152674.25
82;1575869;6.900000095;533206.25;152674.25
83;1575870;8.199999809;533206.75;152674.25
84;1575871;7.900000095;533207.25;152674.25
85;1575872;7.400000095;533207.75;152674.25
86;1575873;7;533208.25;152674.25
87;1575874;6.800000191;533208.75;152674.25
88;1575875;7.699999809;533209.25;152674.25
89;1575876;8.100000381;533209.75;152674.25
90;1575877;8.899999619;533210.25;152674.25
91;1575878;9.300000191;533210.75;152674.25
92;1575879;9;533211.25;152674.25
93;1575880;8.600000381;533211.75;152674.25
94;1575881;8.100000381;533212.25;152674.25
95;1575882;8.399999619;533212.75;152674.25
96;1575883;4.300000191;533213.25;152674.25
97;1577033;6.599999905;533205.75;152673.75
98;1577034;7.199999809;533206.25;152673.75
99;1577035;7.400000095;533206.75;152673.75
100;1577036;7;533207.25;152673.75
101;1577037;7.300000191;533207.75;152673.75
102;1577038;7.699999809;533208.25;152673.75
103;1577039;6.099999905;533208.75;152673.75
104;1577040;8.300000191;533209.25;152673.75
105;1577041;8;533209.75;152673.75
106;1577042;9;533210.25;152673.75
107;1577043;9.300000191;533210.75;152673.75
108;1577044;7.099999905;533211.25;152673.75
109;1577045;8.5;533211.75;152673.75
110;1577046;7;533212.25;152673.75
111;1577047;5.599999905;533212.75;152673.75
112;1578234;8.199999809;533206.25;152673.25
113;1578235;7.800000191;533206.75;152673.25
114;1578236;7.199999809;533207.25;152673.25
115;1578237;6.800000191;533207.75;152673.25
116;1578238;7.199999809;533208.25;152673.25
117;1578239;7;533208.75;152673.25
118;1578240;8.600000381;533209.25;152673.25
119;1578241;8.600000381;533209.75;152673.25
120;1578242;8.899999619;533210.25;152673.25
121;1578243;7.400000095;533210.75;152673.25
